Date,PM2.5,PM10,NO2,NOx,CO,SO2,O3,temp,max_temp,min_temp,humid,visible
2017-08-06,15.21,81.72,27.33,2.247791411,2.44,5.32,6.06,24.8,29.5,21.3,69.0,6.9
2017-08-07,22.82,88.33,27.76,2.232116564,2.91,5.27,54.59,25.7,30.2,21.2,65.0,6.3
2017-08-08,21.07,99.54,27.75,2.216441718,2.01,5.79,48.17,25.8,31.2,22.0,66.0,6.9
2017-08-09,22.31,92.2,29.38,2.200766871,0.95,5.12,33.6,23.8,31.3,21.5,79.0,6.9
2017-08-10,14.14,77.12,27.85,2.185092025,0.61,4.46,9.71,23.9,27.5,20.7,79.0,6.9
2017-08-11,10.11,71.85,32.5,2.169417178,0.68,4.06,16.65,23.5,28.0,21.0,85.0,5.5
2017-08-12,3.91,61.7,32.46,2.153742331,0.86,5.24,18.87,23.6,28.2,20.5,77.0,6.9
2017-08-13,4.69,116.59,32.78,2.138067485,1.14,4.6,23.74,23.3,27.6,21.2,75.0,6.3
2017-08-14,19.41,115.3,32.52,2.122392638,0.96,4.92,26.54,24.8,27.6,21.6,67.0,6.9
2017-08-15,20.88,68.12,29.7,2.106717791,0.64,5.4,7.35,22.3,28.3,19.2,84.0,6.9
2017-08-16,17.91,60.6,24.95,2.091042945,1.01,5.43,20.51,23.0,27.4,20.0,78.0,6.9
2017-08-17,18.42,78.23,29.56,2.075368098,1.25,4.51,21.86,23.3,28.5,20.2,80.0,6.9
2017-08-18,14.92,57.1,30.9,2.059693252,0.61,4.3,21.39,23.1,28.2,20.4,82.0,6.9
2017-08-19,18.66,53.12,27.62,2.044018405,0.68,4.7,20.13,22.6,28.9,20.3,84.0,6.3
2017-08-20,10.89,61.8,29.64,2.028343558,1.02,4.93,11.17,22.3,28.6,20.3,86.0,6.9
2017-08-21,14.53,88.86,28.09,2.012668712,0.95,4.92,16.04,23.6,27.0,20.3,78.0,6.9
2017-08-22,18.87,89.66,26.93,1.996993865,0.89,5.08,20.89,23.4,28.0,21.0,80.0,6.9
2017-08-23,18.18,75.76,26.59,1.981319018,0.85,4.21,27.15,24.0,28.0,20.6,77.0,6.9
2017-08-24,59.05,66.25,27.01,1.965644172,0.71,4.66,21.84,22.9,28.6,20.6,85.0,7.4
2017-08-25,97.97,49.59,25.15,1.949969325,0.57,4.71,19.86,22.8,26.8,20.5,86.0,4.8
2017-08-26,14.19,72.62,26.25,1.934294479,0.97,4.61,19.83,23.8,28.0,20.8,77.0,6.9
2017-08-27,11.71,48.41,26.08,1.918619632,0.67,4.85,7.65,22.3,28.5,21.0,89.0,4.8
2017-08-28,17.58,89.92,28.01,1.902944785,0.86,5.52,13.12,22.8,26.5,20.5,83.0,6.9
2017-08-29,16.33,100.74,28.51,1.887269939,1.01,4.79,14.98,22.4,26.2,20.5,86.0,5.8
2017-08-30,20.42,90.87,26.31,1.871595092,0.85,4.85,16.33,24.5,27.7,21.1,77.0,6.9
2017-08-31,24.96,111.68,26.74,1.855920245,0.77,5.48,24.66,24.9,29.0,20.5,73.0,6.4
2017-09-01,158.67,86.06,26.66,1.840245399,1.25,4.92,13.48,23.7,30.6,19.8,84.0,6.3
2017-09-02,114.92,87.12,31.99,1.824570552,0.82,4.8,15.86,22.6,27.8,20.8,92.0,4.8
2017-09-03,14.2,59.94,30.59,1.808895706,0.68,4.77,29.74,23.2,27.3,19.9,87.0,5.5
2017-09-04,39.74,85.24,30.16,1.793220859,0.77,4.65,23.83,24.8,29.5,18.7,75.0,6.9
2017-09-05,14.2,98.1,28.6,1.777546012,1.34,5.28,23.99,25.4,30.2,21.3,72.0,7.4
2017-09-06,21.2,49.13,28.55,1.761871166,0.63,5.28,27.63,23.1,29.8,19.8,90.0,6.9
2017-09-07,9.57,100.44,30.93,1.746196319,0.7,5.62,12.5,24.1,28.5,21.3,83.0,6.3
2017-09-08,32.86,72.73,30.75,1.730521472,0.91,4.7,34.54,23.9,30.0,20.5,82.0,6.3
2017-09-09,22.63,83.19,36.31,1.714846626,0.69,4.83,15.06,23.6,28.2,20.0,82.0,6.8
2017-09-10,14.52,93.49,39.24,1.699171779,0.68,5.96,9.66,24.1,28.0,20.3,79.0,6.9
2017-09-11,15.27,115.56,42.37,1.683496933,0.73,6.18,9.5,24.8,27.8,21.9,77.0,6.9
2017-09-12,17.48,104.51,39.09,1.667822086,0.73,5.45,11.3,26.0,30.2,22.1,70.0,8.5
2017-09-13,16.5,108.42,34.8,1.652147239,0.67,4.68,12.87,25.3,31.0,22.2,72.0,6.9
2017-09-14,14.05,90.68,29.42,1.636472393,0.94,4.4,28.38,24.8,30.6,21.0,75.0,6.9
2017-09-15,8.58,71.81,31.38,1.620797546,0.58,4.68,18.53,23.7,31.1,21.0,78.0,6.9
2017-09-16,8.49,92.8,31.42,1.605122699,0.37,5.42,14.39,23.7,29.5,20.8,80.0,6.9
2017-09-17,7.02,52.78,31.84,1.589447853,0.42,5.52,5.9,21.3,29.4,19.5,93.0,6.3
2017-09-18,8.57,66.31,28.46,1.573773006,0.42,5.12,6.18,22.7,27.3,19.3,81.0,6.9
2017-09-19,7.68,87.05,29.35,1.55809816,0.42,5.56,19.64,23.1,27.2,20.4,75.0,6.3
2017-09-20,10.21,81.53,28.47,1.542423313,0.47,5.14,25.61,23.2,27.7,19.4,68.0,6.9
2017-09-21,12.64,80.51,28.19,1.526748466,0.38,5.16,24.16,22.8,28.5,19.3,80.0,6.3
2017-09-22,17.93,80.49,27.46,1.51107362,0.35,4.89,28.96,24.3,27.7,20.5,68.0,6.9
2017-09-23,21.62,91.14,30.95,1.495398773,0.4,5.3,41.31,25.6,29.5,20.6,63.0,6.9
2017-09-24,23.7,112.5,35.09,1.479723926,0.49,6.04,29.38,24.3,30.5,20.5,76.0,6.3
2017-09-25,19.26,53.18,29.23,1.46404908,0.4,5.49,24.14,22.8,29.0,19.4,81.0,6.3
2017-09-26,22.47,76.88,29.13,1.448374233,0.48,4.76,27.37,23.8,27.2,20.6,78.0,6.9
2017-09-27,28.3,50.86,38.34,1.432699387,0.57,6.16,7.85,21.9,28.1,20.0,91.0,5.5
2017-09-28,21.59,90.26,24.81,1.41702454,0.32,4.63,21.6,22.5,26.8,20.4,86.0,6.3
2017-09-29,22.36,71.25,29.64,1.401349693,0.5,5.13,8.95,22.7,26.2,20.3,86.0,6.9
2017-09-30,30.65,68.52,26.24,1.385674847,0.45,5.74,29.89,22.7,27.0,20.4,88.0,6.3
2017-10-01,20.01,57.46,27.01,1.37,0.38,4.53,21.92,23.1,27.4,20.7,85.0,6.3
2017-10-02,20.5,46.54,25.68,1.8,0.52,5.64,34.02,23.3,28.4,19.4,82.0,6.3
2017-10-03,22.85,63.75,25.43,1.81,0.49,4.49,29.93,24.9,28.0,20.6,74.0,6.9
2017-10-04,121.63,67.04,24.72,7.5,0.57,5.36,30.31,24.3,29.3,21.0,78.0,6.9
2017-10-05,21.36,42.33,32.24,21.6,0.66,5.07,10.53,22.0,29.6,20.1,95.0,5.3
2017-10-06,24.73,55.39,28.49,17.21,0.6,5.66,28.31,23.1,28.0,20.7,86.0,4.5
2017-10-07,29.16,70.61,26.77,17.23,0.58,4.55,21.99,23.7,29.0,21.2,84.0,5.5
2017-10-08,78.14,65.04,22.5,14.42,0.58,4.22,35.86,24.6,28.8,21.3,80.0,6.9
2017-10-09,26.08,71.87,25.0,15.19,1.35,5.2,20.43,24.8,29.0,21.5,80.0,6.6
2017-10-10,32.21,73.85,29.03,14.78,2.02,3.93,45.08,24.5,29.3,19.6,77.0,6.9
2017-10-11,22.5,62.71,31.64,17.4,0.64,4.38,34.99,23.8,29.8,20.2,81.0,5.5
2017-10-12,27.29,54.56,30.86,16.24,0.57,4.2,22.7,23.2,30.7,20.5,83.0,6.3
2017-10-13,24.83,52.24,30.63,16.58,0.5,4.49,14.59,22.9,27.5,20.5,87.0,5.3
2017-10-14,32.61,44.65,28.07,15.1,0.48,4.64,9.9,22.1,27.6,19.8,93.0,3.7
2017-10-15,40.34,50.86,34.04,18.62,0.46,4.22,13.39,22.3,25.6,19.6,85.0,5.3
2017-10-16,21.63,76.61,29.07,15.09,0.43,4.05,15.03,22.4,26.0,19.8,84.0,6.3
2017-10-17,27.86,118.88,35.25,21.29,0.55,4.37,17.23,23.1,26.4,20.9,78.0,6.3
2017-10-18,39.39,188.67,41.73,23.66,0.62,4.81,27.54,23.3,27.0,21.0,79.0,5.0
2017-10-19,44.66,147.94,32.42,21.72,0.57,4.39,34.64,23.7,29.0,20.1,67.0,6.0
2017-10-20,79.76,264.9,40.38,22.47,0.58,5.88,38.72,24.4,29.8,20.4,67.0,6.3
2017-10-21,39.67,157.62,32.18,16.86,0.87,5.69,34.89,24.8,30.6,20.4,66.0,6.3
2017-10-22,22.44,118.74,31.05,14.94,0.79,5.32,28.1,23.9,30.5,20.4,54.0,5.8
2017-10-23,26.85,123.41,33.32,17.72,1.08,5.39,33.95,24.1,30.5,19.2,52.0,6.9
2017-10-24,42.56,176.27,44.63,25.27,1.26,5.62,27.3,25.0,31.0,18.4,56.0,6.9
2017-10-25,35.29,134.15,43.04,26.42,1.59,4.42,20.57,25.2,31.3,20.8,64.0,6.3
2017-10-26,25.49,88.04,39.14,22.64,1.22,4.26,12.69,23.7,29.6,21.0,68.0,7.7
2017-10-27,26.03,87.11,36.53,19.54,1.03,4.26,19.69,23.9,28.8,20.2,68.0,6.9
2017-10-28,37.38,91.81,39.18,22.25,1.55,4.97,32.07,23.9,30.0,19.8,60.0,6.9
2017-10-29,47.47,100.35,39.01,21.46,1.08,4.3,36.67,24.2,28.8,20.3,59.0,6.9
2017-10-30,45.49,82.59,32.5,16.63,0.77,3.71,32.74,21.6,29.6,19.3,78.0,6.3
2017-10-31,122.41,68.08,33.67,24.36,0.84,3.6,47.84,22.2,26.7,19.4,71.0,6.9
2017-11-01,39.88,56.91,24.85,47.53,0.48,2.66,43.92,21.7,25.0,19.9,78.0,6.9
2017-11-02,66.54,57.13,26.81,50.52,0.44,4.15,44.38,22.9,26.6,18.8,66.0,6.9
2017-11-03,58.73,73.54,29.41,62.33,0.56,5.08,52.18,23.2,27.8,19.3,66.0,6.9
2017-11-04,41.02,64.65,34.07,27.96,0.76,3.3,43.23,22.1,28.0,19.7,80.0,6.9
2017-11-05,26.7,29.28,29.05,23.52,0.69,3.33,17.19,21.5,25.6,19.3,87.0,5.5
2017-11-06,22.05,27.3,29.82,22.24,0.75,3.15,6.75,21.7,25.4,19.7,89.0,6.3
2017-11-07,27.98,42.42,33.64,25.13,0.82,3.51,7.02,21.5,25.6,19.2,87.0,6.9
2017-11-08,26.89,40.08,33.43,25.46,0.86,2.98,13.74,22.0,26.0,18.3,80.0,6.9
2017-11-09,25.94,66.25,37.65,26.42,0.97,3.26,30.46,22.5,27.2,18.6,64.0,6.3
2017-11-10,31.21,51.65,30.19,20.93,0.9,2.76,24.08,22.5,27.8,17.9,65.0,6.9
2017-11-11,32.87,77.14,36.09,24.53,0.99,3.99,30.86,20.7,28.6,17.2,76.0,6.0
2017-11-12,26.99,72.0,36.27,24.2,0.86,3.85,14.76,21.9,26.2,15.8,64.0,6.0
2017-11-13,30.4,57.77,32.51,22.14,0.74,3.68,43.16,23.6,28.2,19.3,65.0,6.3
2017-11-14,26.94,65.86,30.57,20.53,0.91,4.15,37.68,23.5,29.1,19.4,74.0,6.9
2017-11-15,30.7,66.28,27.55,17.34,0.93,3.88,39.31,24.4,28.7,21.0,74.0,6.3
2017-11-16,37.93,78.07,34.47,23.09,0.95,4.34,34.31,24.2,29.2,19.6,74.0,6.3
2017-11-17,35.72,71.36,30.34,18.76,0.89,3.97,37.48,23.7,29.2,21.3,72.0,6.3
2017-11-18,34.96,63.17,36.57,22.57,0.71,3.59,19.28,24.1,29.6,20.9,74.0,6.9
2017-11-19,30.66,59.05,39.44,25.1,0.92,3.76,15.11,24.1,30.0,20.5,71.0,6.3
2017-11-20,32.21,58.7,36.61,25.05,0.91,3.59,17.27,24.2,29.0,20.7,70.0,6.3
2017-11-21,25.79,41.37,34.1,26.66,0.89,3.83,3.14,23.8,29.6,20.2,70.0,6.3
2017-11-22,44.84,46.73,37.02,28.5,0.85,3.36,15.6,23.1,29.1,19.5,69.0,6.3
2017-11-23,38.07,63.39,42.75,28.13,0.98,4.05,28.57,23.7,29.3,18.1,65.0,6.0
2017-11-24,17.64,80.23,46.1,30.94,0.95,3.89,29.13,24.1,29.7,18.7,62.0,6.3
2017-11-25,17.81,81.86,50.65,34.88,0.94,3.81,38.5,22.7,30.0,18.6,65.0,5.8
2017-11-26,15.67,69.67,48.12,33.72,0.9,3.75,35.73,22.2,28.0,17.4,76.0,6.0
2017-11-27,10.7,57.05,47.51,34.14,0.92,3.82,24.36,22.4,26.8,19.2,78.0,6.0
2017-11-28,11.46,65.13,50.06,34.51,0.93,3.95,22.54,23.0,27.7,18.2,68.0,6.0
2017-11-29,197.41,64.65,39.39,26.59,0.77,3.99,23.71,22.8,29.6,18.3,64.0,6.0
2017-11-30,74.5,36.84,32.3,22.72,0.97,4.12,19.73,21.3,27.6,19.3,88.0,4.8
2017-12-01,1.76,19.23,31.43,21.32,0.65,3.23,4.11,19.8,24.7,19.0,95.0,4.0
